iast,ipa,tf,kh,slp1,tsu,csx
aí,aí,;ai,;ai,;E,;E,0
aì,aì,:ai,:ai,:E,:E,0
ai,ai,ai,ai,E,E,0
aú,aú,;au,;au,;O,;O,0
aù,aù,:au,:au,:O,:O,0
au,au,au,au,O,O,0
ā́,áː,;aa,;A,;A,;A,181
ā̀,àː,:aa,:A,:A,:A,182
á,á,;a,;a,;a,;a,158
à,à,:a,:a,:a,:a,133
ā,aː,aa,A,A,A,224
ī́,íː,;ii,;I,;I,;I,183
ī̀,ìː,:ii,:I,:I,:I,184
í,í,;i,;i,;i,;i,161
ì,ì,:i,:i,:i,:i,141
ī,iː,ii,I,I,I,227
ū́,úː,;uu,;U,;U,;U,189
ū̀,ùː,:uu,:U,:U,:U,190
ú,ú,;u,;u,;u,;u,163
ù,ù,:u,:u,:u,:u,151
ū,uː,uu,U,U,U,229
r̥̄́,ŕ̩ː,;..rr,;RR,;F,;Q,179
r̥̄̀,r̩̀ː,:..rr,:RR,:F,:Q,0
ŕ̥,ŕ̩,;.r,;R,;f,;q,198
ŕ̥,ŕ̩,;.r,;R,;f,;q,198
r̥̀,r̩̀,:.r,:R,:f,:q,199
r̥̄,r̩ː,..rr,RR,F,Q,233
r̥,r̩,.r,R,f,q,231
ĺ̥,ĺ̩,;.l,;L,;x,;L,0
l̥̀,l̩̀,:.l,:L,:X,:L,0
l̥,l̩,.l,L,x,L,235
é,éː,;e,;e,;e,;e,130
è,èː,:e,:e,:e,:e,138
e,eː,e,e,e,e,101
ó,óː,;o,;o,;o,;o,162
ò,òː,:o,:o,:o,:o,149
o,oː,o,o,o,o,111
kh,kʰ,kh,kh,K,K,107104
gh,gʰ,gh,gh,G,G,103104
ch,cʰ,ch,ch,C,C,99104
jh,jʰ,jh,jh,J,J,106104
.th,ʈʰ,.th,.th,W,W,241104
.dh,ɖʰ,.dh,.dh,Q,X,243104
;lh,;lh,;lh,;lh,Q,X,0
th,tʰ,th,th,T,T,116104
dh,dʰ,dh,dh,D,D,100104
ph,pʰ,ph,ph,P,P,112104
bh,bʰ,bh,bh,B,B,98104
ṅ,ŋ,:n,G,N,V,239
ñ,ɲ,;n,J,Y,Y,164
ṇ,ɳ,.n,N,R,N,245
j,ɟ,j,j,j,j,106
ṭ,ʈ,.t,T,w,w,241
ḍ,ɖ,.d,D,q,x,243
ḷ,;l,;l,;l,q,x,0
y,j,y,y,y,y,121
ś,ś,;s,z,S,z,247
ṣ,ʂ,.s,S,z,S,249
ḫ,ḫ,.f,f,H,f,220
ẖ,ẖ,.x,x,H,F,219
ṃ,ṃ,.m,M,M,M,252
ṁ,ṁ,:m,:m,M,M,167
m̐,m̐,;m,;m,M,M,193
ḥ,h,.h,H,H,H,254
